url,size,outlink,Content-Type
https://www.latimes.com/california/story/2023-02-15/report-dangers-to-cyclists-los-angeles,264314,218,text/html;charset=UTF-8
https://documents.latimes.com/sarah-palin-emails/,43779,192,text/html
https://documents.latimes.com/california-public-records/,40686,170,text/html
https://documents.latimes.com/archives-la-times-past/,280015,396,text/html
https://www.latimes.com/recipe/list/tahini-having-a-moment-recipes,373788,241,text/html;charset=UTF-8
https://www.latimes.com/recipe/list/recipes-eggplant-short-season-how-to-cook-roasted,380812,246,text/html;charset=UTF-8
https://documents.latimes.com/l-times-first-edition-front-page-december-4-1881/,34742,155,text/html
https://www.latimes.com/recipe/parmesan-mac-n-cheese,339643,211,text/html;charset=UTF-8
https://documents.latimes.com/ls-fire-system-1881-story-first-edition-l-times/,34869,155,text/html
https://www.latimes.com/recipe/keith-corbin-california-soul-vegan-gombo-gumbo,289567,185,text/html;charset=UTF-8
https://www.latimes.com/recipe/eggplant-bourguignon,347113,217,text/html;charset=UTF-8
https://www.latimes.com/recipe/thanksgiving-green-bean-gratin,344255,218,text/html;charset=UTF-8
https://www.latimes.com/lifestyle/image/story/2021-08-18/this-l-a-couple-can-heal-you-with-houseplants-how-extensive-plant-therapy,286436,191,text/html;charset=UTF-8
https://www.latimes.com/lifestyle/image/story/2021-08-13/how-sergio-mendes-reimagined-the-sound-of-brazil-in-los-angeles,311785,198,text/html;charset=UTF-8
https://www.latimes.com/entertainment-arts/movies/story/2021-02-01/judas-black-messiah-review-kaluuya-stanfield,294578,219,text/html;charset=UTF-8
https://www.latimes.com/lifestyle/image/story/2021-08-18/la-ig-evelynn-escobar-cuarentena,305111,199,text/html;charset=UTF-8
https://www.latimes.com/california/story/2023-02-03/citing-abuse-9th-circuit-upholds-body-camera-other-reform-mandates-in-california-prisons,263992,209,text/html;charset=UTF-8
https://www.latimes.com/california/story/2023-02-07/sleuths-help-lapd-cold-case-bill-newton,364737,201,text/html;charset=UTF-8
https://www.latimes.com/lifestyle/image/story/2022-04-21/mariam-rahmani-my-go-to-bling-is-an-iranian-turquoise-ring,307237,200,text/html;charset=UTF-8
https://www.latimes.com/lifestyle/image/story/2021-12-01/a-letter-to-the-la-of-my-dreams-julissa-james,291584,202,text/html;charset=UTF-8
https://www.latimes.com/lifestyle/image/story/2021-10-13/mens-skirts-gender-fluid-fashion-trend-worth-trying,297785,204,text/html;charset=UTF-8
https://www.latimes.com/lifestyle/image/story/2022-03-28/what-had-happened-at-the-oscars-was-simply-hair,297626,189,text/html;charset=UTF-8
https://www.latimes.com/people/times-photography-staff,230980,207,text/html;charset=UTF-8
https://www.latimes.com/business/story/2023-02-16/tesla-recall-cars-full-self-driving-beta-crash-risk,268554,221,text/html;charset=UTF-8
https://www.latimes.com/business/story/2021-10-11/tesla-texas-elon-musk,293825,244,text/html;charset=UTF-8
https://www.latimes.com/world-nation/story/2023-02-24/tiktok-banned-eu-commission-phones-cybersecurity,254502,205,text/html;charset=UTF-8
https://www.latimes.com/lifestyle/story/2022-09-30/la-affairs-blind-husband-swim-marriage-brenda-arechiga,271155,212,text/html;charset=UTF-8
https://www.latimes.com/lifestyle/story/2022-09-09/la-affairs-romance-he-made-me-feel-weird-about-sex-los-angeles-kirsten-wasson,269344,211,text/html;charset=UTF-8
https://www.latimes.com/lifestyle/story/2022-10-14/la-affairs-apartment-date-michelle-poveda,275649,213,text/html;charset=UTF-8
https://www.latimes.com/entertainment-arts/story/2023-01-04/how-tiktoks-anti-aesthetic-is-shaping-our-world,357736,278,text/html;charset=UTF-8
https://www.latimes.com/business/technology/story/2022-03-02/california-ag-investigates-tiktoks-impact-on-children,276730,207,text/html;charset=UTF-8
https://www.latimes.com/entertainment-arts/music/story/2022-09-08/rosalia-motomami-spanish-mexico-city,312797,209,text/html;charset=UTF-8
https://www.latimes.com/lifestyle/image/story/2022-09-22/how-la-is-healing-from-the-ground-up-with-ms-glens-therapeutic-pedicures,281222,197,text/html;charset=UTF-8
https://www.latimes.com/lifestyle/image/story/2022-10-14/coveted-top-beauty-products-from-l-a-brands-to-buy-this-fall,387843,221,text/html;charset=UTF-8
https://www.latimes.com/archives/blogs/jacket-copy,238984,170,text/html;charset=UTF-8
https://www.latimes.com/lifestyle/image/story/2022-11-11/diaspora-coveted,310610,203,text/html;charset=UTF-8
